"INSPECTION_ID","FACILITYID","INSPECTION_DATE","REQUIRE_REINSPECTION","CERTIFIED_FOOD_HANDLER","INSPECTION_TYPE","CHARGE_REVOCKED","Actions","CHARGE_DATE"
"{1B5F190A-0B96-4041-BF97-0000A4BA5DC3}","B1E0CA50-7B9C-4962-8221-58BDD600B9B6","2014/06/12","N","Yes","Compliance Inspection","","",""
"{34DA9AE4-7288-4A32-A67A-00048A671F52}","ED39D66B-F811-4504-B732-15F10F95BB74","2013/12/09","N","No","Re-inspection","","",""
"{DEA8B48B-BA10-491A-B1A4-000F3B43276F}","01F9723D-AE50-40B1-B315-F37F33424DF7","2013/04/27","N","No","Compliance Inspection","","",""
"{43A21E70-E3CB-4389-8A72-0013ABFDEEC9}","3C2EADB5-9B24-4530-A6E7-D7BF842C51E1","2014/08/21","Y","Yes","Compliance Inspection","","Re-inspection Required",""
"{14CEA1CC-E7BD-4635-877D-0014375CFAA5}","B580B155-3ACC-4AD7-9AD4-691D7423EC98","2013/11/28","N","Yes","Compliance Inspection","","",""
"{BE7337D7-17E7-41E2-ACEA-001925F09B83}","6D8A4668-9281-4C5B-9BD8-0C5E8B794353","2013/11/14","Y","No","Compliance Inspection","","Re-inspection Required",""
"{6D8C417B-9329-4E44-8567-001978B4DD20}","675716DA-5734-4D1A-A1CE-24E0A3D7138C","2013/12/17","N","No","Compliance Inspection","","",""
"{FFD8DE8F-2874-42FF-9F9E-001A7FA9584D}","2A649D0D-37BA-401F-AE9A-0F9769FC0483","2014/07/31","N","No","Compliance Inspection","","",""
"{7AD7E8ED-826D-44DE-B778-00248908CD9E}","CE37309D-FA72-4E0B-A568-644DDC15940E","2013/02/21","N","No","Re-inspection","","",""
"{EFB6CC07-589C-45D6-AB87-0025D53898B5}","E8098610-56C0-458A-BEC2-C3C5D794BCB1","2014/06/26","N","Yes","Compliance Inspection","","",""
"{0D6EC299-8672-48B0-B3CD-0026F646E2C2}","A920BBF8-AC08-4085-B4B7-E4C1A7ACE091","2013/08/02","N","No","Re-inspection","","",""
"{E84F29B7-6E87-45C6-BAA3-0026F8AA1ED4}","F24278AC-32D4-4D68-8AA5-AE28995AD342","2013/11/07","N","Yes","Compliance Inspection","","",""
"{A633D29D-CD8D-4AD8-9D5B-00285587A5B0}","83C9358B-D9C0-4B53-9B2D-8B074372FEE5","2013/12/17","N","No","Compliance Inspection","","",""
"{8E1A5C27-F4D1-4B3E-9940-00302EB76A06}","E7E22721-A143-49F7-B8E0-6A25A0DEE27C","2013/11/22","N","Yes","Compliance Inspection","","",""
"{79A73E93-DF65-4D5A-BF2F-0030FB848A67}","EF57771B-1597-4AE5-AAAD-B74874DF70D5","2014/03/25","N","No","Compliance Inspection","","",""
"{8F3DE829-ADBA-4449-80B3-00394FF175F6}","18CB908D-C189-442F-BF57-65A0A156AE9E","2013/05/16","N","Yes","Compliance Inspection","","",""
"{8750A5DC-2218-4BD9-AF8B-004057A9CD61}","363B6EE8-A061-4A43-958E-5067FEF85FA4","2014/09/16","N","Yes","Compliance Inspection","","",""
"{0D633122-4522-4BF1-B689-00469EA553E4}","D396D60A-B71C-45C5-A49C-70D31DB664A7","2013/09/30","N","No","Compliance Inspection","","",""
"{CB8AACFA-15D9-48E9-9D8F-0047A12C3244}","7F8956FC-FBAA-4405-94F1-6D80EA3625EC","2014/09/02","N","No","Compliance Inspection","","",""
"{99A2DD96-AA43-42EA-A456-004B689908B2}","50D7E29D-8D96-4368-8089-8EC127F80F4E","2013/09/12","N","No","Re-inspection","","",""
"{23172E97-2D0B-4F31-BC3A-004B8F305568}","B462B7CF-CC6F-411B-BE00-31D01BD5F20B","2013/08/16","N","No","Compliance Inspection","","",""
