"INSPECTION_ID","FACILITYID","INSPECTION_DATE","REQUIRE_REINSPECTION","CERTIFIED_FOOD_HANDLER","INSPECTION_TYPE","CHARGE_REVOCKED","Actions","CHARGE_DATE"
"{E75AE203-DD71-436E-9794-0003396A1132}","2862A752-11C0-4F7C-9072-8F04CD94B1FF","2011/11/24","N","Yes","Compliance Inspection","","",""
"{13CBEA88-66F9-4D07-A2EF-000579D22D27}","FBB56CF2-B246-4008-8860-FD5A6E49CEBA","2011/07/28","N","No","Compliance Inspection","","",""
"{F3B094AD-C481-4855-841E-000FD35C8E14}","A55AC472-725A-4F10-85A5-E887D70C1F17","2012/08/10","N","No","Compliance Inspection","","",""
"{486D4750-2D4F-41EC-AD5A-002146A7A6A5}","6E4AB142-5E7B-44FB-B9D1-83F33C2253BC","2012/05/24","N","No","Re-inspection","","",""
"{7AD7E8ED-826D-44DE-B778-00248908CD9E}","CE37309D-FA72-4E0B-A568-644DDC15940E","2013/02/21","N","No","Re-inspection","","",""
"{1E838B7F-25F1-432C-B57A-00258C8A64A2}","4015289C-412D-4A5D-925A-93B8A35F7229","2011/05/02","N","No","Compliance Inspection","","",""
"{A3309E9F-8491-498C-A1CA-003017BC14E1}","BA12F352-476E-4C52-935A-B77CF4BEAB97","2012/03/31","N","No","Compliance Inspection","","",""
"{AC5DD62B-65D6-4A31-BE7B-00356CF7DFE5}","14413639-19F2-4729-8972-53E1B7BAD623","2012/08/03","Y","No","Re-inspection","","Re-inspection Required",""
"{EEE826E9-4E37-49D5-A969-004239DD3247}","F4D30915-703F-424E-B97F-047D54C0E2CB","2012/04/19","N","Yes","Compliance Inspection","","",""
"{7F0C382D-6750-42FE-A2C0-00439833D5BF}","7C70899F-68E7-4293-830C-92D5EB91E56F","2012/08/15","N","No","Compliance Inspection","","",""
"{817E9837-C05B-4D98-AFCA-0044EBDE0DE7}","8B2E4D7F-00AC-4BB0-AF5A-10812F3AC42F","2012/08/23","N","Yes","Compliance Inspection","","",""
"{8A42E3EF-E195-4922-83AF-00453A11DB06}","DD4315C7-D7CD-4918-BC4C-4203A1B194CE","2012/02/16","N","No","Compliance Inspection","","",""
"{915983BB-4655-4BE2-B180-004ABF1ECEEF}","235DDDCA-006F-4FB2-8DBD-CD52A0A0E649","2012/09/18","N","No","Compliance Inspection","","",""
"{8498DE08-1DE0-43BF-B60B-0050B6C049C4}","892C036A-3A6E-4852-9CF3-E9AEE2388ABC","2011/11/10","N","No","Compliance Inspection","","",""
"{A8434F90-BC7F-4DA5-8924-0051208D1BCB}","6A66327E-9762-4C3F-885C-CFD6310C8B17","2012/04/17","N","No","Compliance Inspection","","",""
"{6EBB6988-210E-4DE2-BFD4-0060762BA1A7}","15C73FE9-5936-4685-B86C-599F4AF20C95","2011/06/22","N","Yes","Compliance Inspection","","",""
"{E3A8CFE5-6E28-4ED0-B0B8-0065E8469583}","A2AD8BB2-4095-42A1-B4A0-FC4F882768C2","2011/06/03","N","No","Compliance Inspection","","",""
"{CB27AE13-CEA3-4AF7-9B4F-0065F66ED188}","D4C73E95-C056-4C27-9F3B-8CF2CC803119","2011/06/14","N","No","Compliance Inspection","","",""
"{392761F2-17AD-4FAB-A597-006EC38CFD53}","D6D401CC-9091-4DD7-A915-0AEAD8511F69","2012/09/12","N","No","Compliance Inspection","","",""
"{CBA332D4-7AB2-455B-9B96-006EEF35D068}","C71EDD7C-9567-4F83-B8EF-0ECC6F3893B9","2011/03/18","N","No","Compliance Inspection","","",""
"{02002E13-C74B-48A7-B3FE-007037931EC9}","06224F0F-FE45-43CD-9B0F-E33C1EF9C47D","2012/10/17","N","No","Compliance Inspection","","",""
"{5D912496-C09C-42D1-B057-0077663420A6}","B6EFA635-8C03-4313-8D17-E06E7350E5D2","2011/04/07","N","Yes","Compliance Inspection","","",""
"{A50E2446-F80A-431C-B29E-0081EC77A5AA}","5C3E8D09-70DF-435E-949A-97C9F297707D","2012/06/25","N","No","Compliance Inspection","","",""
"{7EB3EEF6-BE6F-41B6-8D62-0083E704F2F4}","4B8CA3A7-602C-4612-9439-781DD85D26C1","2011/04/12","N","No","Compliance Inspection","","",""
"{1FB34858-6894-47BB-9C93-008C2F8852AC}","BC4B86F2-29A6-46C3-980C-BECEF3BED004","2011/06/14","N","Yes","Compliance Inspection","","",""
"{E387B0AB-72FD-4EA4-82D1-0093872D2E82}","B5E5439B-4C96-4D5D-8ADB-CE6EC1188BC9","2011/08/17","N","Yes","Compliance Inspection","","",""
"{8144D360-DA27-4B9B-9FE2-009927FCCA34}","881863EA-E0D2-41B4-90AE-BF02FEF0F2C1","2012/05/31","N","No","Compliance Inspection","","",""
"{693A97CD-4A40-434A-829E-00A4E6728C9C}","20DAF5D3-2966-49B7-BA6F-423C1B6E1E98","2012/01/19","N","No","Re-inspection","","",""
"{36A85C8A-3BC6-484C-B962-00AD27DEE692}","0FA5FEA9-81A9-41E6-8155-8E0F199AFEDE","2011/10/27","N","No","Compliance Inspection","","",""
"{B1F1EA39-B7BA-4BE8-899F-00ADFFEC5579}","160C6967-39AD-4E1E-B8BB-B5C4DCAD681A","2011/05/13","N","No","Compliance Inspection","","",""
"{63BCD8DD-6909-4143-B036-00AEBE872C02}","C097FD69-30DD-4B43-8773-2B1DC4A4BE56","2013/02/11","N","Yes","Compliance Inspection","","",""
"{471874EC-73DE-43A6-AA60-00B2852A166A}","BBCD03A4-2652-4CE6-AE2A-3297E668C0D7","2012/03/23","N","No","Compliance Inspection","","",""
"{40F43ADE-E1C6-4B2E-8451-00BCE78DDD0A}","6F187283-292D-4B05-92F0-106F46A7E88C","2011/06/17","N","No","Compliance Inspection","","",""
"{FA8E22AD-BB63-4C7B-A6DE-00BF89EACCAF}","089A5E03-38FB-4275-9B2B-526BE0CD4BCF","2011/09/28","N","No","Compliance Inspection","","",""
"{CA2CD871-62EB-4677-B3BC-00C4606A969F}","F478CB5C-C4B8-42B1-9FD2-1DFCEBB923AD","2011/06/02","N","No","Compliance Inspection","","",""
"{75F4A92B-D5FF-4710-BB90-00CA268D450C}","FD6745BA-79CE-429E-BAD3-86BA8DEC1C7B","2012/07/16","N","No","Compliance Inspection","","",""
